Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,New Caledonia,NCL,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,New Zealand,NZL,42887.5181227249
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Nicaragua,NIC,5407.12069988083
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Niger,NER,1224.51047167826
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Nigeria,NGA,5135.49957097093
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,North Macedonia,MKD,16479.0047209037
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Northern Mariana Islands,MNP,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Norway,NOR,63633.1019598322
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Oman,OMN,27299.4083422631
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Pakistan,PAK,4690.48475495074
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Palau,PLW,17579.4598053642
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Panama,PAN,31458.6926255213
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Papua New Guinea,PNG,4354.85060958012
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Paraguay,PRY,12685.1133997498
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Peru,PER,12847.8852078957
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Philippines,PHL,8908.17597699835
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Poland,POL,33221.0826188394
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Portugal,PRT,34894.326459657
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Puerto Rico,PRI,34517.6132041046
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Qatar,QAT,90043.9261804671
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Romania,ROU,29940.7740765414
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Russian Federation,RUS,27043.9353888318
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Rwanda,RWA,2226.86357081654
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Samoa,WSM,6521.45832424314
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,San Marino,SMR,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Sao Tome and Principe,STP,3969.56379841645
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Saudi Arabia,SAU,46962.149056827
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Senegal,SEN,3394.86880772168
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Serbia,SRB,18232.6150174338
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Seychelles,SYC,29223.4650133741
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Sierra Leone,SLE,1718.27671157243
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Singapore,SGP,97341.4686453731
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Sint Maarten (Dutch part),SXM,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Slovak Republic,SVK,32730.3108011772
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Slovenia,SVN,39088.4831947985
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Solomon Islands,SLB,2662.80202523849
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Somalia,SOM,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,South Africa,ZAF,12481.8128680216
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,South Sudan,SSD,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Spain,ESP,40902.8851584625
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Sri Lanka,LKA,13078.0981150723
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,St. Kitts and Nevis,KNA,26438.1787089132
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,St. Lucia,LCA,15448.7674781838
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,St. Martin (French part),MAF,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,St. Vincent and the Grenadines,VCT,12485.1802845213
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Sudan,SDN,3958.46838961531
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Suriname,SUR,16524.7581014901
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Sweden,SWE,53239.823297751
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Switzerland,CHE,68627.8286605641
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Syrian Arab Republic,SYR,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Tajikistan,TJK,3379.74869663112
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Tanzania,TZA,2660.42033801671
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Thailand,THA,18459.9948619049
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Timor-Leste,TLS,3552.59974500255
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Togo,TGO,1596.64493817771
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Tonga,TON,6383.2739304528
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Trinidad and Tobago,TTO,26175.8369786234
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Tunisia,TUN,10755.6081519541
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Turkey,TUR,28423.6482418357
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Turkmenistan,TKM,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Turks and Caicos Islands,TCA,29253.3766027444
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Tuvalu,TUV,4281.39512402735
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Uganda,UGA,2187.46488143101
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Ukraine,UKR,12810.2894546923
